==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\FC OCP test -0_01C_cyc\20230302\OCP_full cell _6_026.wrd
테스트 기간 : 2023-03-02 21:54:08 ~ 2023-03-11 22:49:40
데이터 개수 : 13017
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : C:\Zive Data\Smart Interface\Experiments\Schedule\FC OCP test -0.01C.cyc
단계 개수 : 7

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
143           	0:02:22:00.210	1             	0:02:22:00.210	4             	0:01:22:00.000	3.81945E-005  	3.10905E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.18749E-004  	8.14007E+004  	5.21962E-005  	5.21984E-005  	100uA         
144           	0:02:23:00.210	1             	0:02:23:00.210	4             	0:01:23:00.000	3.81914E-005  	3.11080E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.18806E-004  	8.14528E+004  	5.28328E-005  	5.28350E-005  	100uA         
145           	0:02:24:00.210	1             	0:02:24:00.210	4             	0:01:24:00.000	3.81945E-005  	3.11238E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.18876E-004  	8.14878E+004  	5.34693E-005  	5.34716E-005  	100uA         
146           	0:02:25:00.210	1             	0:02:25:00.210	4             	0:01:25:00.000	3.81945E-005  	3.11428E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.18948E-004  	8.15375E+004  	5.41059E-005  	5.41081E-005  	100uA         
147           	0:02:26:00.210	1             	0:02:26:00.210	4             	0:01:26:00.000	3.81945E-005  	3.11603E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19015E-004  	8.15832E+004  	5.47425E-005  	5.47447E-005  	100uA         
148           	0:02:27:00.210	1             	0:02:27:00.210	4             	0:01:27:00.000	3.81914E-005  	3.11761E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19066E-004  	8.16312E+004  	5.53790E-005  	5.53813E-005  	100uA         
149           	0:02:28:00.210	1             	0:02:28:00.210	4             	0:01:28:00.000	3.81945E-005  	3.11919E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19136E-004  	8.16661E+004  	5.60156E-005  	5.60178E-005  	100uA         
150           	0:02:29:00.210	1             	0:02:29:00.210	4             	0:01:29:00.000	3.81945E-005  	3.12110E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19209E-004  	8.17159E+004  	5.66522E-005  	5.66544E-005  	100uA         
151           	0:02:30:00.210	1             	0:02:30:00.210	4             	0:01:30:00.000	3.81975E-005  	3.12300E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19291E-004  	8.17591E+004  	5.72887E-005  	5.72910E-005  	100uA         
152           	0:02:31:00.210	1             	0:02:31:00.210	4             	0:01:31:00.000	3.81914E-005  	3.12442E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19326E-004  	8.18096E+004  	5.79253E-005  	5.79275E-005  	100uA         
153           	0:02:32:00.210	1             	0:02:32:00.210	4             	0:01:32:00.000	3.81914E-005  	3.12601E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19387E-004  	8.18511E+004  	5.85619E-005  	5.85641E-005  	100uA         
154           	0:02:33:00.210	1             	0:02:33:00.210	4             	0:01:33:00.000	3.81914E-005  	3.12759E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19447E-004  	8.18925E+004  	5.91984E-005  	5.92007E-005  	100uA         
155           	0:02:34:00.210	1             	0:02:34:00.210	4             	0:01:34:00.000	3.81945E-005  	3.12933E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	2.84369E+000  	1.19523E-004  	8.19316E+004  	5.98350E-005  	5.98372E-005  	100uA         
