==========
일반 데이터 보고서
==========

시험 데이타 파일 : C:\Zive Data\Smart Interface\Experiments\Data\박겸손\23_DCIR_FCC_cyc\20230524\HNE_FCC_DCIR3_06_026.wrd
테스트 기간 : 2023-05-24 03:59:46 ~ 2023-05-27 03:12:59
데이터 개수 : 14477
시험자 성명 : 
상품 번호 : 
메모 : 
조건 파일명 : F:\23_DCIR_FCC.cyc
단계 개수 : 24

--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
인덱스         	시험_시간(s)   	사이클_번호    	사이클_시간(s) 	단계_번호      	단계_시간(s)   	전류(A)        	전압(V)        	IR(ohm)       	보조전압1(V)   	보조전압2(V)   	보조전압3(V)   	온도('C)       	OCP(V)         	파워(W)        	부하(Ohm)      	누적_용량(Ah)  	절대값_용량(Ah)	전류_범위      
--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------	--------------
4402          	0:21:28:42.300	1             	0:21:28:42.300	3             	0:00:41:30.000	0.00000E+000  	3.88615E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88615E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4403          	0:21:29:12.300	1             	0:21:29:12.300	3             	0:00:42:00.000	0.00000E+000  	3.88615E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88615E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4404          	0:21:29:42.300	1             	0:21:29:42.300	3             	0:00:42:30.000	0.00000E+000  	3.88615E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88615E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4405          	0:21:30:12.300	1             	0:21:30:12.300	3             	0:00:43:00.000	0.00000E+000  	3.88631E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88631E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4406          	0:21:30:42.300	1             	0:21:30:42.300	3             	0:00:43:30.000	0.00000E+000  	3.88615E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88615E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4407          	0:21:31:12.300	1             	0:21:31:12.300	3             	0:00:44:00.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4408          	0:21:31:42.300	1             	0:21:31:42.300	3             	0:00:44:30.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4409          	0:21:32:12.300	1             	0:21:32:12.300	3             	0:00:45:00.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4410          	0:21:32:42.300	1             	0:21:32:42.300	3             	0:00:45:30.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4411          	0:21:33:12.300	1             	0:21:33:12.300	3             	0:00:46:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4412          	0:21:33:42.300	1             	0:21:33:42.300	3             	0:00:46:30.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4413          	0:21:34:12.300	1             	0:21:34:12.300	3             	0:00:47:00.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4414          	0:21:34:42.300	1             	0:21:34:42.300	3             	0:00:47:30.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4415          	0:21:35:12.300	1             	0:21:35:12.300	3             	0:00:48:00.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4416          	0:21:35:42.300	1             	0:21:35:42.300	3             	0:00:48:30.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4417          	0:21:36:12.300	1             	0:21:36:12.300	3             	0:00:49:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4418          	0:21:36:42.300	1             	0:21:36:42.300	3             	0:00:49:30.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4419          	0:21:37:12.300	1             	0:21:37:12.300	3             	0:00:50:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4420          	0:21:37:42.300	1             	0:21:37:42.300	3             	0:00:50:30.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4421          	0:21:38:12.300	1             	0:21:38:12.300	3             	0:00:51:00.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4422          	0:21:38:42.300	1             	0:21:38:42.300	3             	0:00:51:30.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4423          	0:21:39:12.300	1             	0:21:39:12.300	3             	0:00:52:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4424          	0:21:39:42.300	1             	0:21:39:42.300	3             	0:00:52:30.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4425          	0:21:40:12.300	1             	0:21:40:12.300	3             	0:00:53:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4426          	0:21:40:42.300	1             	0:21:40:42.300	3             	0:00:53:30.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4427          	0:21:41:12.300	1             	0:21:41:12.300	3             	0:00:54:00.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4428          	0:21:41:42.300	1             	0:21:41:42.300	3             	0:00:54:30.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4429          	0:21:42:12.300	1             	0:21:42:12.300	3             	0:00:55:00.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4430          	0:21:42:42.300	1             	0:21:42:42.300	3             	0:00:55:30.000	0.00000E+000  	3.88599E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88599E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4431          	0:21:43:12.300	1             	0:21:43:12.300	3             	0:00:56:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4432          	0:21:43:42.300	1             	0:21:43:42.300	3             	0:00:56:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4433          	0:21:44:12.300	1             	0:21:44:12.300	3             	0:00:57:00.000	0.00000E+000  	3.88583E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88583E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4434          	0:21:44:42.300	1             	0:21:44:42.300	3             	0:00:57:30.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4435          	0:21:45:12.300	1             	0:21:45:12.300	3             	0:00:58:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4436          	0:21:45:42.300	1             	0:21:45:42.300	3             	0:00:58:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4437          	0:21:46:12.300	1             	0:21:46:12.300	3             	0:00:59:00.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4438          	0:21:46:42.300	1             	0:21:46:42.300	3             	0:00:59:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4439          	0:21:47:12.300	1             	0:21:47:12.300	3             	0:01:00:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4440          	0:21:47:42.300	1             	0:21:47:42.300	3             	0:01:00:30.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4441          	0:21:48:12.300	1             	0:21:48:12.300	3             	0:01:01:00.000	0.00000E+000  	3.88567E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88567E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4442          	0:21:48:42.300	1             	0:21:48:42.300	3             	0:01:01:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4443          	0:21:49:12.300	1             	0:21:49:12.300	3             	0:01:02:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4444          	0:21:49:42.300	1             	0:21:49:42.300	3             	0:01:02:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4445          	0:21:50:12.300	1             	0:21:50:12.300	3             	0:01:03:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4446          	0:21:50:42.300	1             	0:21:50:42.300	3             	0:01:03:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4447          	0:21:51:12.300	1             	0:21:51:12.300	3             	0:01:04:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4448          	0:21:51:42.300	1             	0:21:51:42.300	3             	0:01:04:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4449          	0:21:52:12.300	1             	0:21:52:12.300	3             	0:01:05:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4450          	0:21:52:42.300	1             	0:21:52:42.300	3             	0:01:05:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4451          	0:21:53:12.300	1             	0:21:53:12.300	3             	0:01:06:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4452          	0:21:53:42.300	1             	0:21:53:42.300	3             	0:01:06:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4453          	0:21:54:12.300	1             	0:21:54:12.300	3             	0:01:07:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4454          	0:21:54:42.300	1             	0:21:54:42.300	3             	0:01:07:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4455          	0:21:55:12.300	1             	0:21:55:12.300	3             	0:01:08:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4456          	0:21:55:42.300	1             	0:21:55:42.300	3             	0:01:08:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4457          	0:21:56:12.300	1             	0:21:56:12.300	3             	0:01:09:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4458          	0:21:56:42.300	1             	0:21:56:42.300	3             	0:01:09:30.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4459          	0:21:57:12.300	1             	0:21:57:12.300	3             	0:01:10:00.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4460          	0:21:57:42.300	1             	0:21:57:42.300	3             	0:01:10:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4461          	0:21:58:12.300	1             	0:21:58:12.300	3             	0:01:11:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4462          	0:21:58:42.300	1             	0:21:58:42.300	3             	0:01:11:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4463          	0:21:59:12.300	1             	0:21:59:12.300	3             	0:01:12:00.000	0.00000E+000  	3.88552E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88552E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4464          	0:21:59:42.300	1             	0:21:59:42.300	3             	0:01:12:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4465          	0:22:00:12.300	1             	0:22:00:12.300	3             	0:01:13:00.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4466          	0:22:00:42.300	1             	0:22:00:42.300	3             	0:01:13:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4467          	0:22:01:12.300	1             	0:22:01:12.300	3             	0:01:14:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4468          	0:22:01:42.300	1             	0:22:01:42.300	3             	0:01:14:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4469          	0:22:02:12.300	1             	0:22:02:12.300	3             	0:01:15:00.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4470          	0:22:02:42.300	1             	0:22:02:42.300	3             	0:01:15:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4471          	0:22:03:12.300	1             	0:22:03:12.300	3             	0:01:16:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4472          	0:22:03:42.300	1             	0:22:03:42.300	3             	0:01:16:30.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4473          	0:22:04:12.300	1             	0:22:04:12.300	3             	0:01:17:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4474          	0:22:04:42.300	1             	0:22:04:42.300	3             	0:01:17:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4475          	0:22:05:12.300	1             	0:22:05:12.300	3             	0:01:18:00.000	0.00000E+000  	3.88536E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88536E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4476          	0:22:05:42.300	1             	0:22:05:42.300	3             	0:01:18:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4477          	0:22:06:12.300	1             	0:22:06:12.300	3             	0:01:19:00.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4478          	0:22:06:42.300	1             	0:22:06:42.300	3             	0:01:19:30.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4479          	0:22:07:12.300	1             	0:22:07:12.300	3             	0:01:20:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4480          	0:22:07:42.300	1             	0:22:07:42.300	3             	0:01:20:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4481          	0:22:08:12.300	1             	0:22:08:12.300	3             	0:01:21:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4482          	0:22:08:42.300	1             	0:22:08:42.300	3             	0:01:21:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4483          	0:22:09:12.300	1             	0:22:09:12.300	3             	0:01:22:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4484          	0:22:09:42.300	1             	0:22:09:42.300	3             	0:01:22:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4485          	0:22:10:12.300	1             	0:22:10:12.300	3             	0:01:23:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4486          	0:22:10:42.300	1             	0:22:10:42.300	3             	0:01:23:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4487          	0:22:11:12.300	1             	0:22:11:12.300	3             	0:01:24:00.000	0.00000E+000  	3.88520E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88520E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4488          	0:22:11:42.300	1             	0:22:11:42.300	3             	0:01:24:30.000	0.00000E+000  	3.88488E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88488E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4489          	0:22:12:12.300	1             	0:22:12:12.300	3             	0:01:25:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4490          	0:22:12:42.300	1             	0:22:12:42.300	3             	0:01:25:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4491          	0:22:13:12.300	1             	0:22:13:12.300	3             	0:01:26:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4492          	0:22:13:42.300	1             	0:22:13:42.300	3             	0:01:26:30.000	0.00000E+000  	3.88488E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88488E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4493          	0:22:14:12.300	1             	0:22:14:12.300	3             	0:01:27:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4494          	0:22:14:42.300	1             	0:22:14:42.300	3             	0:01:27:30.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
4495          	0:22:15:12.300	1             	0:22:15:12.300	3             	0:01:28:00.000	0.00000E+000  	3.88504E+000  	              	0.00000E+000  	0.00000E+000  	0.00000E+000  	0.00          	3.88504E+000  	0.00000E+000  	0.00000E+000  	2.20376E-003  	0.00000E+000  	101mA         
